timestamp_ms,cpu_percent,used_memory_mb
1761618603633,45.22,16060.81
1761618603837,50.00,16056.75
1761618604037,40.63,16050.44
1761618604237,0.00,16054.25
1761618604433,0.00,16057.00
1761618604637,44.26,16052.02
1761618604837,34.59,16044.53
1761618605033,39.49,16047.67
1761618605237,33.13,16043.05
1761618605437,38.36,16040.92
1761618605634,35.44,16038.72
1761618605835,35.22,16035.56
1761618606037,38.04,16039.14
1761618606237,32.70,16036.31
1761618606437,32.70,16042.06
1761618606633,35.26,16045.58
1761618606832,35.00,16037.05
1761618607037,37.42,16031.73
1761618607237,35.00,16030.97
1761618607437,35.85,16036.72
1761618607633,34.18,16035.39
1761618607832,0.00,16032.55
1761618608037,36.34,16038.41
1761618608235,35.44,16039.44
1761618608437,31.68,16054.64
1761618608637,44.72,16050.64
1761618608833,35.63,16051.08
1761618609037,33.75,16053.70
1761618609237,31.65,16052.94
1761618609435,33.33,16050.61
1761618609637,37.89,16041.67
1761618609837,42.86,16045.47
1761618610033,0.00,16045.86
1761618610237,0.00,16045.86
1761618610437,34.31,16038.72
1761618610637,33.75,16036.56
1761618610837,0.00,15997.78
1761618611033,0.00,16009.20
1761618611237,0.00,16007.38
1761618611437,0.00,16040.89
1761618611637,40.63,16037.16
1761618611836,43.75,16039.44
1761618612037,39.13,16040.14
1761618612237,35.03,16038.47
1761618612432,27.74,16033.06
1761618612637,23.64,16029.19
1761618612837,22.64,16020.28
1761618613037,21.38,16020.06
1761618613237,26.25,16027.81
1761618613432,22.08,16027.58
1761618613637,23.17,16025.16
1761618613837,22.50,16020.66
1761618614037,19.62,16020.31
1761618614237,20.50,16019.94
1761618614437,21.52,16018.73
1761618614632,22.93,16018.05
1761618614837,23.60,16015.11
1761618615035,25.95,16016.25
1761618615237,20.37,16016.89
1761618615437,22.29,16015.70
1761618615637,23.13,16012.48
1761618615834,22.50,16013.88
1761618616037,24.84,16012.61
1761618616234,24.52,16011.03
1761618616437,26.83,16009.80
1761618616637,35.00,16010.47
1761618616837,25.79,16005.58
1761618617036,24.38,16006.70
1761618617237,20.89,16009.70
1761618617433,21.66,16017.17
1761618617637,0.00,16018.03
1761618617835,0.00,16016.77
1761618618033,0.00,16022.16
1761618618237,20.50,16021.94
1761618618437,22.50,16020.00
1761618618637,20.25,16019.39
1761618618837,20.37,16018.86
1761618619037,20.89,16018.27
1761618619237,0.00,16017.59
1761618619432,26.60,16020.55
1761618619632,28.22,16018.69
1761618619837,28.40,16015.30
1761618620037,27.67,16015.30
1761618620233,19.23,16015.30
1761618620437,20.12,16014.36
1761618620632,21.29,16013.92
1761618620835,21.34,16012.38
1761618621037,0.00,16011.30
1761618621237,0.00,16023.31
1761618621437,0.00,16023.17
1761618621637,25.94,16021.05
1761618621837,21.74,16020.34
1761618622032,29.49,16024.42
1761618622237,33.54,16035.56
1761618622435,34.84,16043.39
1761618622635,34.16,16047.39
1761618622833,36.13,16057.33
1761618623037,34.15,16061.13
1761618623237,32.91,16065.59
1761618623437,0.00,16079.03
1761618623635,0.00,16079.42
1761618623837,34.02,16087.56
1761618624034,33.55,16087.55
1761618624237,24.85,16088.83
1761618624437,24.84,16088.83
1761618624632,20.26,16088.83
1761618624836,22.09,16088.83
1761618625035,29.19,16102.42
1761618625237,26.11,16104.58
1761618625436,23.13,16104.30
1761618625637,0.00,16104.30
1761618625837,0.00,16104.30
1761618626035,0.00,16109.00
1761618626237,23.99,16106.98
1761618626435,23.72,16102.30
1761618626632,35.63,16105.09
1761618626837,35.40,16100.34
1761618627036,24.38,16102.95
1761618627237,18.99,16104.59
1761618627437,24.07,16105.75
1761618627635,24.05,16103.08
1761618627837,18.24,16103.08
1761618628035,18.99,16103.08
1761618628233,25.16,16104.41
1761618628437,23.13,16105.95
1761618628637,21.88,16105.03
1761618628837,23.90,16109.70
1761618629035,0.00,16111.16
1761618629237,0.00,16110.09
1761618629436,0.00,16108.92
1761618629637,21.91,16110.63
1761618629837,23.75,16109.16
1761618630033,0.00,16108.77
1761618630237,0.00,16107.06
1761618630435,0.00,16107.92
1761618630637,0.00,16107.92
1761618630837,22.21,16107.92
1761618631036,22.50,16107.92
1761618631237,22.50,16109.59
