timestamp_ms,book_id,latency_ms,cpu_percent,used_memory_mb,total_memory_mb
1761825197075,38654,611.025,0.14,60.02,4112.52
1761825197697,16006,621.355,0.54,11.72,4112.52
1761825198309,708,610.523,0.41,11.99,4112.52
1761825199818,3334,644.811,0.00,11.88,4112.52
1761825200438,48500,613.477,0.68,12.18,4112.52
1761825201049,26045,609.292,0.27,12.18,4112.52
1761825201660,51670,610.345,0.27,12.65,4112.52
1761825202273,38443,611.955,0.41,12.65,4112.52
1761825202883,62601,609.237,0.14,12.65,4112.52
1761825203496,69617,610.984,0.41,12.81,4112.52
1761825204108,8716,610.194,0.41,13.49,4112.52
1761825204719,35114,609.734,0.27,13.49,4112.52
1761825205328,27682,608.060,0.28,13.65,4112.52
1761825205938,22355,608.900,0.14,13.65,4112.52
1761825206547,19830,607.193,0.14,13.80,4112.52
1761825207163,1917,614.185,0.54,13.98,4112.52
1761825207776,15615,610.581,0.41,13.98,4112.52
1761825208394,59252,615.868,0.54,14.44,4112.52
1761825209007,20472,610.540,0.27,14.44,4112.52
1761825209620,58699,611.540,0.27,14.44,4112.52
1761825210270,60881,611.632,1.03,15.45,4112.52
1761825210886,50691,613.611,0.41,15.45,4112.52
1761825211500,59049,612.093,0.41,15.45,4112.52
1761825212113,50834,611.964,0.14,15.60,4112.52
1761825212728,51091,613.284,0.55,16.07,4112.52
1761825213343,43856,612.512,0.27,16.07,4112.52
1761825213955,27973,610.752,0.27,16.23,4112.52
1761825214566,17069,609.675,0.27,16.23,4112.52
1761825215178,40504,610.983,0.14,16.54,4112.52
1761825215788,42566,609.254,0.28,16.70,4112.52
1761825216405,35012,610.653,0.27,16.70,4112.52
1761825217017,42313,610.435,0.41,16.70,4112.52
1761825217639,26694,619.026,0.41,17.16,4112.52
1761825218251,3350,611.055,0.55,17.16,4112.52
1761825218864,60605,610.660,0.14,17.16,4112.52
1761825219475,34640,610.018,0.27,17.32,4112.52
1761825220088,39580,611.132,0.27,17.62,4112.52
1761825220705,57499,611.438,0.27,17.93,4112.52
1761825221319,26311,612.771,0.82,18.17,4112.52
1761825221936,39187,615.018,0.27,18.33,4112.52
1761825222547,4060,610.046,0.28,18.33,4112.52
1761825223167,630,618.293,0.27,18.63,4112.52
1761825223779,17973,610.230,0.41,18.79,4112.52
1761825224392,67398,611.706,0.14,18.79,4112.52
1761825225001,40959,607.383,0.28,18.79,4112.52
1761825225618,28169,615.808,0.54,19.26,4112.52
1761825226229,8865,609.535,0.27,19.26,4112.52
1761825226844,43086,612.804,0.27,19.26,4112.52
1761825227456,27112,610.384,0.27,19.42,4112.52
1761825228067,25897,609.703,0.41,19.72,4112.52
1761825228681,13079,611.765,0.27,19.72,4112.52
1761825229302,48373,620.373,0.27,19.88,4112.52
1761825229916,23303,611.922,0.41,20.07,4112.52
1761825230526,38892,608.756,0.14,20.27,4112.52
1761825231141,37017,610.752,0.27,20.71,4112.52
1761825231755,28167,611.943,0.27,20.71,4112.52
1761825232366,36694,609.637,0.55,21.01,4112.52
1761825232976,39037,609.236,0.14,21.17,4112.52
1761825233587,18119,610.018,0.27,21.17,4112.52
1761825234202,14898,613.089,0.41,21.17,4112.52
1761825234815,47965,612.349,0.27,21.63,4112.52
1761825235423,40741,606.028,0.00,21.63,4112.52
1761825236032,4131,608.556,0.14,21.63,4112.52
1761825236641,6024,607.894,0.14,21.79,4112.52
1761825237260,8653,617.257,0.41,21.79,4112.52
1761825237871,64538,609.535,0.14,22.30,4112.52
1761825238486,50797,613.858,0.55,22.37,4112.52
1761825239098,45714,610.878,0.27,22.53,4112.52
1761825239710,43131,610.098,0.28,22.53,4112.52
1761825240319,29247,608.588,0.28,22.83,4112.52
