timestamp_ms,term,latency_ms,cpu_percent,used_memory_mb,total_memory_mb
1761605233429,war,30616.011,0.02,9.39,4294.97
1761605264049,love,30617.016,0.02,9.39,4294.97
1761605294665,book,30612.893,0.02,9.39,4294.97
1761605325287,science,30620.090,0.02,9.82,4294.97
1761605355906,death,30616.615,0.02,9.82,4294.97
1761605386520,war,30611.470,0.02,9.82,4294.97
1761605417136,love,30612.852,0.03,9.82,4294.97
1761605448372,science,30623.278,0.00,10.28,4294.97
1761605448374,book,30622.592,45.24,10.28,4294.97
1761605478988,death,30613.090,0.02,10.28,4294.97
1761605509618,love,30616.629,0.04,10.59,4294.97
1761605509619,war,30617.711,34.83,10.59,4294.97
1761605540238,book,30618.118,0.03,10.59,4294.97
1761605540239,science,30617.916,47.12,10.59,4294.97
1761605570852,death,30612.333,0.02,10.88,4294.97
1761605601464,love,30609.456,0.03,11.16,4294.97
1761605601466,war,30611.543,24.26,11.16,4294.97
1761605632078,book,30612.518,0.03,11.16,4294.97
1761605632080,science,30613.619,26.45,11.16,4294.97
1761605662697,death,30616.496,0.02,11.16,4294.97
1761605693312,love,30613.323,0.03,11.58,4294.97
1761605693315,war,30615.874,22.25,12.00,4294.97
1761605723929,science,30612.439,0.03,12.00,4294.97
1761605723930,book,30615.352,48.17,12.00,4294.97
1761605754548,death,30616.164,0.03,12.29,4294.97
1761605754550,war,30616.628,41.27,12.29,4294.97
1761605785163,book,30612.412,0.02,12.29,4294.97
1761605785165,love,30613.492,39.72,12.29,4294.97
1761605815777,science,30612.081,0.03,12.58,4294.97
1761605846397,death,30616.688,0.03,13.09,4294.97
1761605846398,war,30617.066,43.40,13.09,4294.97
1761605877010,book,30610.849,0.03,13.19,4294.97
1761605877011,love,30612.121,39.51,13.19,4294.97
1761605907624,science,30612.408,0.02,13.19,4294.97
1761605938243,death,30613.939,0.03,13.19,4294.97
1761605938244,war,30614.558,56.63,13.19,4294.97
1761605968860,love,30615.566,0.02,13.35,4294.97
1761605968861,book,30615.135,47.85,13.35,4294.97
1761605999487,science,30623.020,0.03,14.19,4294.97
1761605999488,death,30623.698,71.55,14.19,4294.97
1761606030101,love,30612.369,0.02,14.68,4294.97
1761606030103,war,30613.603,46.63,14.68,4294.97
1761606060717,book,30613.484,0.02,14.68,4294.97
1761606091332,science,30611.984,0.02,14.78,4294.97
1761606091333,death,30612.102,47.76,14.78,4294.97
1761606121949,love,30614.265,0.02,14.88,4294.97
1761606121950,war,30615.679,44.38,14.88,4294.97
1761606152567,book,30616.163,0.02,14.88,4294.97
1761606183184,death,30614.521,0.03,15.20,4294.97
1761606183185,science,30615.349,45.47,15.20,4294.97
1761606213800,war,30614.505,0.03,15.94,4294.97
1761606213801,love,30614.276,37.60,15.94,4294.97
1761606244418,book,30615.854,0.02,16.35,4294.97
1761606275036,science,30615.257,0.02,16.75,4294.97
1761606275038,death,30616.482,33.03,16.75,4294.97
1761606305652,war,30613.741,0.02,16.84,4294.97
1761606305654,love,30615.407,10.87,16.84,4294.97
1761606336269,science,30612.774,0.02,16.94,4294.97
1761606336271,book,30615.198,21.61,17.25,4294.97
1761606366883,death,30611.789,0.02,17.25,4294.97
1761606366884,war,30611.783,29.06,17.25,4294.97
1761606397496,love,30612.101,0.02,17.25,4294.97
1761606428109,science,30609.810,0.02,17.25,4294.97
1761606428112,book,30613.461,21.83,17.25,4294.97
1761606458726,death,30615.715,0.02,17.55,4294.97
1761606458728,war,30613.306,34.98,17.55,4294.97
1761606489345,love,30617.008,0.02,18.37,4294.97
1761606519966,book,30617.492,0.02,18.90,4294.97
1761606519967,science,30617.856,44.20,18.90,4294.97
1761606550579,death,30611.318,0.02,18.90,4294.97
1761606550580,war,30611.175,39.96,18.90,4294.97
1761606581197,love,30615.525,0.03,18.90,4294.97
1761606581199,book,30616.009,32.49,18.90,4294.97
1761606611808,death,30608.311,0.02,18.99,4294.97
1761606611811,science,30612.582,13.98,18.99,4294.97
1761606642425,war,30615.471,0.02,18.99,4294.97
1761606674672,war,30620.578,0.00,10.69,4294.97
1761606674673,death,30621.883,59.30,10.69,4294.97
1761606674674,science,30621.912,22.65,10.69,4294.97
1761606674674,book,30623.292,23.94,10.69,4294.97
1761606705287,book,30612.185,0.04,11.04,4294.97
1761606705288,death,30612.970,29.26,11.04,4294.97
1761606705289,love,30613.860,55.14,11.04,4294.97
1761606705290,science,30612.659,39.24,11.04,4294.97
